algorithm,n,k,time
FGKU,2048,5,38449
FGKU,2048,5,36674
FGKU,2048,5,36603
FGKU,2048,5,29919
FGKU,2048,5,36977
FGKU,2048,5,36911
FGKU,2048,5,36658
FGKU,2048,5,37147
FGKU,2048,5,37572
FGKU,2048,5,38143
FGKU,2048,5,36861
FGKU,2048,5,36655
FGKU,2048,5,36590
FGKU,2048,5,36004
FGKU,2048,5,36232
FGKU,2048,5,36361
FGKU,8192,5,443045
FGKU,8192,5,443869
FGKU,8192,5,442191
FGKU,8192,5,442103
FGKU,8192,5,454426
FGKU,8192,5,444543
FGKU,8192,5,441923
FGKU,8192,5,440627
FGKU,8192,5,441145
FGKU,8192,5,440186
FGKU,8192,5,441601
FGKU,8192,5,444038
FGKU,8192,5,441454
FGKU,8192,5,441465
FGKU,8192,5,442279
FGKU,8192,5,442265
FGKU,16384,5,1737341
FGKU,16384,5,1736361
FGKU,16384,5,1737783
FGKU,16384,5,1736331
FGKU,16384,5,1738738
FGKU,16384,5,1739636
FGKU,16384,5,1737288
FGKU,16384,5,1739154
FGKU,16384,5,1732567
FGKU,16384,5,1738619
FGKU,16384,5,1740187
FGKU,16384,5,1739593
FGKU,16384,5,1746875
FGKU,16384,5,1741777
FGKU,16384,5,1759084
FGKU,16384,5,1738092
FGKU,24576,5,3890360
FGKU,24576,5,3914272
FGKU,24576,5,3911510
FGKU,24576,5,3903813
FGKU,24576,5,3905165
FGKU,24576,5,3902750
FGKU,24576,5,3913475
FGKU,24576,5,3906242
FGKU,24576,5,3910968
FGKU,24576,5,3905568
FGKU,24576,5,3911945
FGKU,24576,5,3924060
FGKU,24576,5,3907711
FGKU,24576,5,3901372
FGKU,24576,5,3910037
FGKU,24576,5,3939330
FGKU,32768,5,6933887
FGKU,32768,5,6940418
FGKU,32768,5,6931676
FGKU,32768,5,6938610
FGKU,32768,5,6928145
FGKU,32768,5,6934417
FGKU,32768,5,6930357
FGKU,32768,5,6921133
FGKU,32768,5,6947451
FGKU,32768,5,6942079
FGKU,32768,5,6929315
FGKU,32768,5,6954755
FGKU,32768,5,6941126
FGKU,32768,5,6926852
FGKU,32768,5,6949289
FGKU,32768,5,6937202
FGKU,40960,5,10856358
FGKU,40960,5,10850865
FGKU,40960,5,10875652
FGKU,40960,5,10826548
FGKU,40960,5,10898395
FGKU,40960,5,10823196
FGKU,40960,5,10833187
FGKU,40960,5,10833762
FGKU,40960,5,10830261
FGKU,40960,5,10866236
FGKU,40960,5,10825927
FGKU,40960,5,10824505
FGKU,40960,5,10821788
FGKU,40960,5,10878844
FGKU,40960,5,10882551
FGKU,40960,5,10860328
FGKU,49152,5,15612063
FGKU,49152,5,15619602
FGKU,49152,5,15623125
FGKU,49152,5,15573768
FGKU,49152,5,15599292
FGKU,49152,5,15612964
FGKU,49152,5,15637649
FGKU,49152,5,15596244
FGKU,49152,5,15569432
FGKU,49152,5,15614703
FGKU,49152,5,15597718
FGKU,49152,5,15572447
FGKU,49152,5,15595139
FGKU,49152,5,15637732
FGKU,49152,5,15611025
FGKU,49152,5,15602345
FGKU,57344,5,21293670
FGKU,57344,5,21219745
FGKU,57344,5,21245889
FGKU,57344,5,21226506
FGKU,57344,5,21263879
FGKU,57344,5,21384678
