algorithm,n,k,time
FGKU,20000,5,2594324
FGKU,20000,5,2571916
FGKU,20000,5,2572450
FGKU,20000,5,2569107
FGKU,20000,5,2573859
FGKU,20000,5,2568202
FGKU,20000,5,2574405
FGKU,20000,5,2571069
FGKU,30000,5,5782602
FGKU,30000,5,5789142
FGKU,30000,5,5783254
FGKU,30000,5,5773828
FGKU,30000,5,5780764
FGKU,30000,5,5777656
FGKU,30000,5,5781343
FGKU,30000,5,5782909
FGKU,40000,5,10328632
FGKU,40000,5,10262393
FGKU,40000,5,10260283
FGKU,40000,5,10257785
FGKU,40000,5,10259099
FGKU,40000,5,10345848
FGKU,40000,5,10279037
FGKU,40000,5,10274970
FGKU,50000,5,16032200
FGKU,50000,5,16026860
FGKU,50000,5,16022609
FGKU,50000,5,16083327
FGKU,50000,5,16037402
FGKU,50000,5,16035439
FGKU,50000,5,16052796
FGKU,50000,5,16103882
FGKU,60000,5,23116032
FGKU,60000,5,23165794
FGKU,60000,5,23173738
FGKU,60000,5,23124057
FGKU,60000,5,23130440
FGKU,60000,5,23111413
FGKU,60000,5,23112214
FGKU,60000,5,23209002
FGKU,70000,5,31463841
FGKU,70000,5,31496422
FGKU,70000,5,31542138
FGKU,70000,5,31448173
FGKU,70000,5,31451774
FGKU,70000,5,31432950
FGKU,70000,5,31439368
FGKU,70000,5,31493331
FGKU,80000,5,41159640
FGKU,80000,5,41094922
FGKU,80000,5,41148139
FGKU,80000,5,41104433
FGKU,80000,5,41071672
FGKU,80000,5,41051374
FGKU,80000,5,41077323
FGKU,80000,5,41089429
FGKU,20000,125,2562485
FGKU,20000,125,2563306
FGKU,20000,125,2560958
FGKU,20000,125,2562170
FGKU,20000,125,2563486
FGKU,20000,125,2561870
FGKU,20000,125,2560846
FGKU,20000,125,2562070
FGKU,30000,125,5770618
FGKU,30000,125,5765508
FGKU,30000,125,5764871
FGKU,30000,125,5765332
FGKU,30000,125,5758715
FGKU,30000,125,5769313
FGKU,30000,125,5758252
FGKU,30000,125,5767245
FGKU,40000,125,10256946
FGKU,40000,125,10254756
FGKU,40000,125,10250241
FGKU,40000,125,10237487
FGKU,40000,125,10245197
FGKU,40000,125,10238007
FGKU,40000,125,10251771
FGKU,40000,125,10238086
FGKU,50000,125,15986864
FGKU,50000,125,15997548
FGKU,50000,125,16018175
FGKU,50000,125,15986192
FGKU,50000,125,15998870
FGKU,50000,125,16007083
FGKU,50000,125,16036044
FGKU,50000,125,16010443
FGKU,60000,125,23251213
FGKU,60000,125,23059631
FGKU,60000,125,23064701
FGKU,60000,125,23068595
FGKU,60000,125,23033154
FGKU,60000,125,23066396
FGKU,60000,125,23041919
FGKU,60000,125,23073549
FGKU,70000,125,31395957
FGKU,70000,125,31387192
FGKU,70000,125,31345688
FGKU,70000,125,31400084
FGKU,70000,125,31356850
FGKU,70000,125,31410607
FGKU,70000,125,31391869
FGKU,70000,125,31833913
FGKU,80000,125,40998858
FGKU,80000,125,40944187
FGKU,80000,125,41012029
FGKU,80000,125,40990400
FGKU,80000,125,40971650
FGKU,80000,125,41003228
FGKU,80000,125,40982647
FGKU,80000,125,41004592
G2,20000,5,1134367
G2,20000,5,926110
G2,20000,5,1139168
G2,20000,5,995757
G2,20000,5,1193047
G2,20000,5,1036593
G2,20000,5,1165368
G2,20000,5,1129554
G2,30000,5,1828492
G2,30000,5,2246040
