algorithm,n,k,time
FGKU,2048,5,36845
FGKU,2048,5,36862
FGKU,2048,5,36889
FGKU,2048,5,37376
FGKU,2048,5,38170
FGKU,2048,5,37778
FGKU,2048,5,36760
FGKU,2048,5,36565
FGKU,2048,5,36419
FGKU,2048,5,36630
FGKU,2048,5,36896
FGKU,2048,5,37072
FGKU,2048,5,37203
FGKU,2048,5,37310
FGKU,2048,5,36628
FGKU,2048,5,37258
FGKU,8192,5,442983
FGKU,8192,5,441805
FGKU,8192,5,443010
FGKU,8192,5,442542
FGKU,8192,5,442498
FGKU,8192,5,441739
FGKU,8192,5,442256
FGKU,8192,5,443460
FGKU,8192,5,441681
FGKU,8192,5,442128
FGKU,8192,5,442258
FGKU,8192,5,443116
FGKU,8192,5,454071
FGKU,8192,5,441523
FGKU,8192,5,441700
FGKU,8192,5,442329
FGKU,16384,5,1787501
FGKU,16384,5,1750699
FGKU,16384,5,1728761
FGKU,16384,5,1748353
FGKU,16384,5,1740514
FGKU,16384,5,1739795
FGKU,16384,5,1736917
FGKU,16384,5,1747305
FGKU,16384,5,1738120
FGKU,16384,5,1736893
FGKU,16384,5,1737098
FGKU,16384,5,1741335
FGKU,16384,5,1737893
FGKU,16384,5,1739446
FGKU,16384,5,1764150
FGKU,16384,5,1738040
FGKU,24576,5,3958725
FGKU,24576,5,3911409
FGKU,24576,5,3905334
FGKU,24576,5,3905814
FGKU,24576,5,3895548
FGKU,24576,5,3902475
FGKU,24576,5,3905198
FGKU,24576,5,3906051
FGKU,24576,5,3900976
FGKU,24576,5,3903776
FGKU,24576,5,3908765
FGKU,24576,5,3968169
FGKU,24576,5,3896753
FGKU,24576,5,3915174
FGKU,24576,5,3896331
FGKU,24576,5,3897459
FGKU,32768,5,6939875
FGKU,32768,5,6930698
FGKU,32768,5,6922833
FGKU,32768,5,6944450
FGKU,32768,5,7037772
FGKU,32768,5,6940334
FGKU,32768,5,6981199
FGKU,32768,5,6931102
FGKU,32768,5,6934622
FGKU,32768,5,6926994
FGKU,32768,5,6929355
FGKU,32768,5,6935740
FGKU,32768,5,6931162
FGKU,32768,5,6935703
FGKU,32768,5,6938127
FGKU,32768,5,6956846
FGKU,40960,5,10832147
FGKU,40960,5,10852851
FGKU,40960,5,10824936
FGKU,40960,5,10835874
FGKU,40960,5,10829402
FGKU,40960,5,10831070
FGKU,40960,5,10821732
FGKU,40960,5,10823856
FGKU,40960,5,10839324
FGKU,40960,5,10826049
FGKU,40960,5,10821716
FGKU,40960,5,10836331
FGKU,40960,5,10820534
FGKU,40960,5,10857668
FGKU,40960,5,10836868
FGKU,40960,5,10818106
FGKU,49152,5,15615131
FGKU,49152,5,15604442
FGKU,49152,5,15578766
FGKU,49152,5,15651658
FGKU,49152,5,15584495
FGKU,49152,5,15590232
FGKU,49152,5,15595603
FGKU,49152,5,15659458
FGKU,49152,5,15600611
FGKU,49152,5,15579441
FGKU,49152,5,15592171
FGKU,49152,5,15585148
FGKU,49152,5,15604818
FGKU,49152,5,15593147
FGKU,49152,5,15612024
FGKU,49152,5,15615841
FGKU,57344,5,21222496
FGKU,57344,5,21237586
FGKU,57344,5,21242604
FGKU,57344,5,21268372
FGKU,57344,5,21243733
FGKU,57344,5,21219112
FGKU,57344,5,21226477
FGKU,57344,5,21229956
FGKU,57344,5,21237505
FGKU,57344,5,21267281
FGKU,57344,5,21268321
FGKU,57344,5,21238153
FGKU,57344,5,21239536
FGKU,57344,5,21246385
FGKU,57344,5,21228802
FGKU,57344,5,21199362
FGKU,65536,5,27741734
FGKU,65536,5,27781192
FGKU,65536,5,27718337
FGKU,65536,5,27818998
FGKU,65536,5,27748794
FGKU,65536,5,27783073
FGKU,65536,5,27758434
FGKU,65536,5,27704980
FGKU,65536,5,27750273
FGKU,65536,5,27742721
FGKU,65536,5,27699964
FGKU,65536,5,27712576
FGKU,65536,5,27719996
FGKU,65536,5,27731325
FGKU,65536,5,27736170
FGKU,65536,5,27703530
FGKU,2048,25,37979
FGKU,2048,25,36761
FGKU,2048,25,36294
FGKU,2048,25,30736
FGKU,2048,25,37111
FGKU,2048,25,36719
FGKU,2048,25,37075
FGKU,2048,25,37116
FGKU,2048,25,36655
FGKU,2048,25,37634
FGKU,2048,25,37406
FGKU,2048,25,37049
FGKU,2048,25,38080
FGKU,2048,25,38309
FGKU,2048,25,36699
FGKU,2048,25,36677
FGKU,8192,25,443725
FGKU,8192,25,444857
FGKU,8192,25,442330
FGKU,8192,25,443200
FGKU,8192,25,444286
FGKU,8192,25,442593
FGKU,8192,25,444582
FGKU,8192,25,444517
FGKU,8192,25,443000
FGKU,8192,25,443026
FGKU,8192,25,444579
FGKU,8192,25,443125
FGKU,8192,25,445461
FGKU,8192,25,444107
FGKU,8192,25,443583
FGKU,8192,25,443091
FGKU,16384,25,1744752
FGKU,16384,25,1744641
FGKU,16384,25,1764289
FGKU,16384,25,1743220
FGKU,16384,25,1744857
FGKU,16384,25,1744846
FGKU,16384,25,1742180
FGKU,16384,25,1746362
FGKU,16384,25,1809909
FGKU,16384,25,1744464
FGKU,16384,25,1743304
FGKU,16384,25,1743539
FGKU,16384,25,1746354
FGKU,16384,25,1744840
FGKU,16384,25,1742399
FGKU,16384,25,1742339
FGKU,24576,25,3916730
FGKU,24576,25,3913734
FGKU,24576,25,3916620
FGKU,24576,25,3919538
FGKU,24576,25,3921725
FGKU,24576,25,3912931
FGKU,24576,25,3905191
FGKU,24576,25,3919917
FGKU,24576,25,3913267
FGKU,24576,25,3916601
FGKU,24576,25,3917863
FGKU,24576,25,3920354
FGKU,24576,25,3913611
FGKU,24576,25,3914757
FGKU,24576,25,3913941
FGKU,24576,25,3918928
FGKU,32768,25,6963906
FGKU,32768,25,6956305
FGKU,32768,25,6956222
FGKU,32768,25,6965179
FGKU,32768,25,6955640
FGKU,32768,25,6949466
FGKU,32768,25,6951374
FGKU,32768,25,6953927
FGKU,32768,25,6949481
FGKU,32768,25,6968604
FGKU,32768,25,6955389
FGKU,32768,25,6950876
FGKU,32768,25,6953607
FGKU,32768,25,6965041
FGKU,32768,25,6962702
FGKU,32768,25,6954935
FGKU,40960,25,10873494
FGKU,40960,25,10881213
FGKU,40960,25,10871589
FGKU,40960,25,11032706
FGKU,40960,25,10872003
FGKU,40960,25,10869230
FGKU,40960,25,10886629
FGKU,40960,25,10862870
FGKU,40960,25,10859483
FGKU,40960,25,10867656
FGKU,40960,25,10876174
FGKU,40960,25,10872214
FGKU,40960,25,10861855
FGKU,40960,25,10896089
FGKU,40960,25,10878737
FGKU,40960,25,10865252
FGKU,49152,25,15653559
FGKU,49152,25,15635720
FGKU,49152,25,15649370
FGKU,49152,25,15634265
FGKU,49152,25,15798024
FGKU,49152,25,15668006
FGKU,49152,25,15654708
FGKU,49152,25,15680574
FGKU,49152,25,15649942
FGKU,49152,25,15641572
FGKU,49152,25,15671420
FGKU,49152,25,15644939
FGKU,49152,25,15662883
FGKU,49152,25,15650289
FGKU,49152,25,15648971
FGKU,49152,25,15644766
FGKU,57344,25,21499171
FGKU,57344,25,21283131
FGKU,57344,25,21296859
FGKU,57344,25,21284788
FGKU,57344,25,21303611
FGKU,57344,25,21323446
FGKU,57344,25,21285344
FGKU,57344,25,21308192
FGKU,57344,25,21302436
FGKU,57344,25,21312928
FGKU,57344,25,21331593
FGKU,57344,25,21314721
FGKU,57344,25,21326188
FGKU,57344,25,21303987
FGKU,57344,25,21292582
FGKU,57344,25,21316580
FGKU,65536,25,27809811
FGKU,65536,25,27844813
FGKU,65536,25,27833955
FGKU,65536,25,27795601
FGKU,65536,25,27870183
FGKU,65536,25,27784222
FGKU,65536,25,27813065
FGKU,65536,25,27842703
FGKU,65536,25,27840110
FGKU,65536,25,27906651
FGKU,65536,25,27823862
FGKU,65536,25,27947295
FGKU,65536,25,27790489
FGKU,65536,25,27842639
FGKU,65536,25,27827000
FGKU,65536,25,27877719
FGKU,2048,125,38592
FGKU,2048,125,37189
FGKU,2048,125,36131
FGKU,2048,125,36942
FGKU,2048,125,35916
FGKU,2048,125,36177
FGKU,2048,125,36180
FGKU,2048,125,36237
FGKU,2048,125,36020
FGKU,2048,125,35947
FGKU,2048,125,36091
FGKU,2048,125,29846
FGKU,2048,125,36504
FGKU,2048,125,36788
FGKU,2048,125,35880
FGKU,2048,125,35855
FGKU,8192,125,439526
FGKU,8192,125,440046
FGKU,8192,125,439805
FGKU,8192,125,439798
FGKU,8192,125,439681
FGKU,8192,125,440165
FGKU,8192,125,439342
FGKU,8192,125,444633
FGKU,8192,125,441307
FGKU,8192,125,440854
FGKU,8192,125,440983
FGKU,8192,125,440738
FGKU,8192,125,440106
FGKU,8192,125,440886
FGKU,8192,125,440175
FGKU,8192,125,439099
FGKU,16384,125,1732622
FGKU,16384,125,1731908
FGKU,16384,125,1734989
FGKU,16384,125,1742289
FGKU,16384,125,1731914
FGKU,16384,125,1730833
FGKU,16384,125,1765174
FGKU,16384,125,1732167
FGKU,16384,125,1729227
FGKU,16384,125,1732971
FGKU,16384,125,1733136
FGKU,16384,125,1730643
FGKU,16384,125,1731903
FGKU,16384,125,1742721
FGKU,16384,125,1732550
FGKU,16384,125,1761386
FGKU,24576,125,3952148
FGKU,24576,125,3888591
FGKU,24576,125,3906048
FGKU,24576,125,3888751
FGKU,24576,125,3892255
FGKU,24576,125,3900170
FGKU,24576,125,3888850
FGKU,24576,125,3879999
FGKU,24576,125,3891503
FGKU,24576,125,3893370
FGKU,24576,125,3888642
FGKU,24576,125,3888153
FGKU,24576,125,3889986
FGKU,24576,125,3885954
FGKU,24576,125,3892040
FGKU,24576,125,3978838
FGKU,32768,125,6903354
FGKU,32768,125,6907490
FGKU,32768,125,6908800
FGKU,32768,125,6921296
FGKU,32768,125,6914026
FGKU,32768,125,6996288
FGKU,32768,125,6917473
FGKU,32768,125,7165858
FGKU,32768,125,6916046
FGKU,32768,125,6907653
FGKU,32768,125,6908599
FGKU,32768,125,6915068
FGKU,32768,125,7024099
FGKU,32768,125,6907584
FGKU,32768,125,6906358
FGKU,32768,125,6920080
FGKU,40960,125,10779227
FGKU,40960,125,10789608
FGKU,40960,125,10811309
FGKU,40960,125,10794240
FGKU,40960,125,10797597
FGKU,40960,125,10789266
FGKU,40960,125,10809357
FGKU,40960,125,10804140
FGKU,40960,125,10788091
FGKU,40960,125,10802723
FGKU,40960,125,10792213
FGKU,40960,125,10788595
FGKU,40960,125,10802093
FGKU,40960,125,10802780
FGKU,40960,125,10800740
FGKU,40960,125,10791874
FGKU,49152,125,15524774
FGKU,49152,125,15546843
FGKU,49152,125,15528128
FGKU,49152,125,15578491
FGKU,49152,125,15521349
FGKU,49152,125,15542148
FGKU,49152,125,15537454
FGKU,49152,125,15541284
FGKU,49152,125,15530895
FGKU,49152,125,15531161
FGKU,49152,125,15538181
FGKU,49152,125,15543931
FGKU,49152,125,15546527
FGKU,49152,125,15547658
FGKU,49152,125,15540153
FGKU,49152,125,15542208
FGKU,57344,125,21134818
FGKU,57344,125,21155395
FGKU,57344,125,21139225
FGKU,57344,125,21134999
FGKU,57344,125,21146500
FGKU,57344,125,21134027
FGKU,57344,125,21148486
FGKU,57344,125,21187653
FGKU,57344,125,21137655
FGKU,57344,125,21143057
FGKU,57344,125,21185809
FGKU,57344,125,21155115
FGKU,57344,125,21145962
FGKU,57344,125,21157506
FGKU,57344,125,21167676
FGKU,57344,125,21137864
FGKU,65536,125,27630772
FGKU,65536,125,27635343
FGKU,65536,125,27602324
FGKU,65536,125,27618691
FGKU,65536,125,28046255
FGKU,65536,125,27624069
FGKU,65536,125,27642652
FGKU,65536,125,27654693
FGKU,65536,125,27599093
FGKU,65536,125,27627663
FGKU,65536,125,27628160
FGKU,65536,125,27618472
FGKU,65536,125,27610393
FGKU,65536,125,27628564
FGKU,65536,125,27615591
FGKU,65536,125,27594876
G2,2048,5,66130
G2,2048,5,67864
G2,2048,5,68767
G2,2048,5,70830
G2,2048,5,68310
G2,2048,5,68971
G2,2048,5,70519
G2,2048,5,73879
G2,2048,5,65878
G2,2048,5,65416
G2,2048,5,70827
G2,2048,5,58106
G2,2048,5,67202
G2,2048,5,72734
G2,2048,5,66922
G2,2048,5,65853
G2,8192,5,1201545
G2,8192,5,1230775
G2,8192,5,1238489
G2,8192,5,1226735
G2,8192,5,1931060
G2,8192,5,1010279
G2,8192,5,1151190
G2,8192,5,1152178
G2,8192,5,1170266
G2,8192,5,1234060
G2,8192,5,1246801
G2,8192,5,1157376
G2,8192,5,1169756
